id,combind_url
69,*https://emos.plurk.com/10ba849822a05191547e65dc1d9acb2b_w48_h48.gif**https://emos.plurk.com/02bd1533e839cf5a4743c755f6d8776b_w48_h48.gif*
70,*https://emos.plurk.com/538fc605aa5df45838b02cf70b433f43_w48_h48.jpeg**https://emos.plurk.com/6c6233111040ebce1827f682e217d31e_w48_h48.jpeg*
71,*https://emos.plurk.com/f74584024657bbe39ed0fd252e80f2e3_w48_h48.gif**https://emos.plurk.com/6e23d83b082308b8166d266af9f6ba25_w48_h48.gif*
72,*https://emos.plurk.com/115edd11588180d6032706f3a8c013bd_w48_h48.gif**https://emos.plurk.com/d1da0fa233819c5f1b6ac54597eab7d3_w48_h48.gif*
73,*https://emos.plurk.com/a35e5704d01baa1bf9b178c1a61b1900_w48_h48.png**https://emos.plurk.com/d25152eb6889e95a162aec2c98f22bc1_w48_h48.png*
74,*https://emos.plurk.com/dd687e8b44fc577edc98b303ba855047_w48_h48.jpg**https://emos.plurk.com/ff3312d445838ab41534418cb864d725_w48_h48.jpg*
75,*https://emos.plurk.com/3af89050131d7e6fd18e23887bef7756_w42_h34.gif**https://emos.plurk.com/c569c8d65b4395c508a628365ab532a7_w44_h34.gif*
76,*https://emos.plurk.com/d182316977478cbbab8f8d09377f67c0_w43_h48.gif**https://emos.plurk.com/388c59b67e6473540d9be17cd568c096_w43_h48.gif*
77,*https://emos.plurk.com/ebf744ff0da21633a750944b5e79eeae_w48_h48.png**https://emos.plurk.com/e5231cda7c9311675164d4a53ca4a99b_w48_h48.png*
78,*https://emos.plurk.com/2b4f14e4d2abdfeb99d85960ce964f2a_w48_h48.png**https://emos.plurk.com/59f4515c5c81404b444141bcff2348b4_w48_h48.png*|*https://emos.plurk.com/02978808f9917f7a441d6a91673dc5b5_w48_h48.png**https://emos.plurk.com/a737a0fa47acb41c57c879e92d2f6edf_w48_h48.png*
81,*https://emos.plurk.com/16230e6c82ccc6d34f3a3f2ff4b449f2_w48_h48.png**https://emos.plurk.com/d5d6e05b7410e4540bb0e9122a067aef_w48_h48.png*
82,*https://emos.plurk.com/d7fc9af6f843e0146da18ccc003897ca_w48_h48.gif**https://emos.plurk.com/ea3c1b970bb2d8e40d38c65fbe136996_w48_h48.gif*|*https://emos.plurk.com/1e8d1ccb3a7179ad20e18201a369690e_w48_h48.gif**https://emos.plurk.com/b7dfd83d6129acdd6373708f8864350d_w48_h48.gif*
83,*https://emos.plurk.com/2edefc282db6d981666d9d37e11a3a8c_w48_h48.gif**https://emos.plurk.com/8de896787c2c912abdb1f9312206f78d_w48_h48.gif*
158,*https://emos.plurk.com/5ab82e620830f38db132af945d3b688a_w48_h48.png*|*https://emos.plurk.com/6241cdb2c084d218584cdddb65b10de5_w48_h48.png*
161,*https://emos.plurk.com/d7784ed14bf08f031046fe0454de147f_w48_h48.jpg**https://emos.plurk.com/3c26d052deb52dea8a828846c6d44d13_w48_h48.jpg*
162,*https://emos.plurk.com/3359678978b45375a408285c372caab3_w43_h48.gif**https://emos.plurk.com/8f77e204aa0330d4616746c74a8d9134_w43_h48.gif*
163,*https://emos.plurk.com/6b3a607a36deab2a5dbb1273b92eded3_w32_h48.gif**https://emos.plurk.com/7915270cb70b0f30088ad9c5e65d4ae8_w32_h48.gif*
84,*https://emos.plurk.com/0187e4b85a566ec2a9cd0ae5e0340161_w48_h48.png**https://emos.plurk.com/80b4424df6f71f589da6badd668e30df_w48_h48.png**https://emos.plurk.com/00bcc557d5163cdd4b0f985957ed515f_w48_h48.png*|*https://emos.plurk.com/5a078ce2d7ed377ed5f7210f8512184d_w48_h48.png**https://emos.plurk.com/af164f32202b020879a2e6db75baf753_w48_h48.png**https://emos.plurk.com/60ad7f9e40afffb629ccd3adb749fed9_w48_h48.png*
86,*https://emos.plurk.com/f4c1a53f0d03fb98a701ca91c756a498_w48_h48.png**https://emos.plurk.com/0055cd9955b4da386f55cb32514e09c4_w48_h48.png**https://emos.plurk.com/c308ff0971e0514d8c5a6913bee2dd72_w48_h48.png**https://emos.plurk.com/bf0ad8eb9706e06513bbb12da62c7cb9_w48_h48.png*|*https://emos.plurk.com/5c95b82ffe99bc980f86bf042e1cfa2a_w48_h48.png**https://emos.plurk.com/433d1a6429c5d5e15830cfda021756dc_w48_h48.png**https://emos.plurk.com/a05186a28813e99342a7ecc2728e82e0_w48_h48.png**https://emos.plurk.com/fbb64a5a0128a6b58a2b4753ec86480c_w48_h48.png*
87,*https://emos.plurk.com/ec85aace05294b882b878cbb8de16201_w47_h21.gif**https://emos.plurk.com/16fe86a403e932661f46a8cd75e75c0b_w47_h21.gif*
88,*https://emos.plurk.com/e806a2f6cbd55a867c3cf942ef5d5560_w47_h21.gif**https://emos.plurk.com/3b6c8d0bac54afeca8c93450b13117f4_w47_h21.gif*
89,*https://emos.plurk.com/72d9f19874ee65f8975763d7210a864c_w48_h48.png**https://emos.plurk.com/eda8be973abec69b80d4f127dd98181b_w48_h48.gif*
